Longitude,Latitude,Date,Presence
-81.985398,29.707942,2019-12-11T13:05Z,1
-81.987658,29.725194,2019-12-11T13:17Z,1
-81.954643,29.703835,2019-12-11T13:38Z,1
-81.939573,29.68552,2019-12-11T14:01Z,1
-81.955031,29.678667,2019-12-11T14:14Z,1
-81.962459,29.678605,2019-12-11T14:22Z,1
-81.962158,29.686937,2019-12-11T14:31Z,1
-81.958591,29.685885,2019-12-11T14:38Z,1
-82.017693,29.68469,2019-12-11T15:04Z,1
-82.009505,29.700742,2019-12-11T15:23Z,1
-81.985398,29.707942,2019-12-11T19:16Z,0
-81.987658,29.725194,2019-12-11T19:28Z,0
-81.954643,29.703835,2019-12-11T19:45Z,0
-81.939573,29.68552,2019-12-11T20:06Z,1
-81.955031,29.678667,2019-12-11T20:16Z,0
-81.962459,29.678605,2019-12-11T20:22Z,0
-81.962158,29.686937,2019-12-11T20:30Z,0
-81.958591,29.685885,2019-12-11T20:33Z,0
-82.017693,29.68469,2019-12-11T21:03Z,0
-82.009505,29.700742,2019-12-11T21:16Z,1
-81.987658,29.725194,2019-12-23T14:12Z,1
-81.954643,29.703835,2019-12-23T14:32Z,1
-81.939573,29.68552,2019-12-23T14:54Z,1
-81.955031,29.678667,2019-12-23T15:23Z,1
-81.962459,29.678605,2019-12-23T15:13Z,1
-81.958591,29.685885,2019-12-23T15:04Z,1
-81.962158,29.686937,2019-12-23T15:07Z,1
-82.017693,29.68469,2019-12-23T15:42Z,1
-82.009505,29.700742,2019-12-23T15:57Z,1
-81.985398,29.707942,2019-12-23T16:09Z,0
-81.987658,29.725194,2019-12-23T18:46Z,1
-81.954643,29.703835,2019-12-23T19:04Z,0
-81.939573,29.68552,2019-12-23T19:28Z,1
-81.958591,29.685885,2019-12-23T19:39Z,0
-81.962158,29.686937,2019-12-23T19:44Z,1
-81.962459,29.678605,2019-12-23T19:51Z,1
-81.955031,29.678667,2019-12-23T20:03Z,1
-82.017693,29.68469,2019-12-23T20:23Z,1
-82.009505,29.700742,2019-12-23T20:38Z,1
-81.985398,29.707942,2019-12-23T20:52Z,1
-83.360424,35.704279,2019-04-02T11:40Z,0
-83.385644,35.704922,2019-04-02T11:51Z,1
-83.384445,35.712781,2019-04-02T11:57Z,0
-83.404883,35.728847,2019-04-02T12:19Z,1
-83.478839,35.677641,2019-04-02T13:19Z,0
-83.503264,35.639723,2019-04-02T13:52Z,0
-83.514666,35.653289,2019-04-02T14:02Z,1
-83.566235,35.671497,2019-04-02T15:15Z,0
-83.592585,35.665495,2019-04-02T14:57Z,0
-83.579185,35.653289,2019-04-02T14:47Z,0
-83.360424,35.704279,2019-04-02T20:39Z,0
-83.385644,35.704922,2019-04-02T20:53Z,1
-83.384445,35.712781,2019-04-02T20:59Z,0
-83.404883,35.728847,2019-04-02T21:09Z,0
-83.478839,35.677641,2019-04-02T21:51Z,0
-83.503264,35.639723,2019-04-02T22:20Z,0
-83.514666,35.653289,2019-04-02T22:28Z,0
-83.579185,35.653289,2019-04-02T23:03Z,0
-83.592585,35.665495,2019-04-02T22:57Z,0
-83.566235,35.671497,2019-04-02T22:46Z,0
-83.404883,35.728847,2019-04-30T11:00Z,1
-83.384445,35.712781,2019-04-30T11:13Z,1
-83.360424,35.704279,2019-04-30T11:26Z,1
-83.385644,35.704922,2019-04-30T11:38Z,1
-83.478839,35.677641,2019-04-30T12:25Z,0
-83.514666,35.653289,2019-04-30T12:50Z,1
-83.503264,35.639723,2019-04-30T13:00Z,0
-83.566235,35.671497,2019-04-30T13:20Z,1
-83.592585,35.665495,2019-04-30T13:32Z,1
-83.579185,35.653289,2019-04-30T13:41Z,1
-83.404883,35.728847,2019-04-30T20:24Z,1
-83.384445,35.712781,2019-04-30T20:33Z,1
-83.360424,35.704279,2019-04-30T20:46Z,1
-83.385644,35.704922,2019-04-30T20:57Z,0
-83.478839,35.677641,2019-04-30T21:37Z,0
-83.514666,35.653289,2019-04-30T22:02Z,0
-83.503264,35.639723,2019-04-30T22:10Z,0
-83.566235,35.671497,2019-04-30T22:28Z,0
-83.592585,35.665495,2019-04-30T22:36Z,0
-83.579185,35.653289,2019-04-30T22:44Z,0
-106.803214,32.608205,2018-10-04T13:23Z,1
-106.808965,32.608144,2018-10-04T13:29Z,1
-106.814391,32.607504,2018-10-04T13:34Z,1
-106.818828,32.605277,2018-10-04T13:39Z,1
-106.843741,32.605275,2018-10-04T13:49Z,1
-106.840847,32.634737,2018-10-04T14:01Z,1
-106.863663,32.609219,2018-10-04T14:18Z,1
-106.85916,32.607928,2018-10-04T14:23Z,1
